Symbol,Direction,Indicator,ParamA,ParamB,ParamC,HoldBars,TimeExit,TrendFlip,HTF,Trades,WinRate,TotalPnL,ProfitFactor,MaxDD%,Sharpe,Score
AAPL,long,jma,7,14,0,5,True,True,False,32,56.25,4094.5869140625,2.6531723994824987,1.40355281354486,5.024292578339601,0.72786936198708
MSFT,long,jma,7,21,0,5,True,True,False,26,46.15384615384615,636.5037536621094,1.2031832256741775,1.169180092993579,1.1970618728262892,0.3193736467025784
AMZN,long,jma,7,14,0,5,True,True,False,38,42.10526315789473,1136.3692016601562,1.2524512363410552,1.5681879228964313,1.3826122798184366,0.35889134784063975
NVDA,long,jma,10,14,0,7,True,True,False,25,48.0,1762.5200729370117,1.4814428328158586,2.4020204205753255,1.7788701071169346,0.45621801139073703
GOOGL,long,jma,7,14,0,7,True,True,False,32,46.875,657.7328643798828,1.1136729090636552,1.8500800051814572,0.7790501870933029,0.28259873164491384
GOOG,long,jma,7,14,0,7,True,True,False,32,46.875,-620.3578948974609,0.9012921184729161,2.116576022039217,-0.6812771422231805,0.12951962682352283
META,long,jma,7,21,0,7,True,True,False,25,52.0,2511.7179565429688,1.7076575250843022,2.059561674813209,2.974875354623336,0.5449483094747901
TSLA,long,jma,7,21,0,5,True,True,False,25,60.0,6063.857635498047,2.2880333586728048,2.5011710391043267,3.8243727777359022,0.7581682755169628
AVGO,long,jma,10,21,0,7,True,True,False,20,50.0,1727.0791931152344,1.4368590131361927,1.798706800514972,1.6499859784967734,0.44531324426833985
COST,long,jma,10,14,0,7,True,True,False,33,39.39393939393939,923.719482421875,1.2430024960942179,1.4208742661455946,1.5191339351045632,0.35030875994107274
PEP,long,jma,7,21,0,5,True,True,False,28,50.0,-126.47885131835938,0.9572503704707992,1.5181365653217933,-0.20166577970953556,0.17066399656147657
ADBE,long,jma,10,21,0,5,True,True,False,22,54.54545454545454,4806.828704833984,3.943716996637296,1.136912135096518,5.800671205342004,0.7963637192458517
NFLX,long,jma,10,14,0,5,True,True,False,26,53.84615384615385,2212.5186157226562,1.596824350227292,2.432034982272317,3.008989023258035,0.5210800855056691
AMD,long,jma,7,14,0,5,True,True,False,31,51.61290322580645,3804.751922607422,1.6223872026693824,1.761613275584653,3.020418939185622,0.6149482420882554
CSCO,long,jma,7,14,0,5,True,True,False,35,45.714285714285715,849.2444648742676,1.339600370555326,1.0669363863809052,1.391296856572005,0.3572969313904908
INTC,long,jma,10,21,0,7,True,True,False,17,76.47058823529412,12034.642553329468,9.311336083786957,1.0467946485579154,7.112137234043028,0.8518943818220303
CMCSA,long,jma,10,14,0,5,True,True,False,33,48.484848484848484,1842.953275680542,1.5931534049242926,0.893599415121183,2.6917521364721186,0.4894160778390994
TMUS,long,jma,10,14,0,5,True,True,False,32,53.125,1995.0983276367188,1.6511379741153775,0.9810174737263384,2.728198286645839,0.5125697133607582
QCOM,long,jma,7,14,0,7,True,True,False,32,53.125,4487.037734985352,2.224466763653524,1.1375739595983285,4.517045918141597,0.7097069204439831
TXN,long,jma,10,14,0,5,True,True,False,19,78.94736842105263,7478.929885864258,7.542213158445819,0.5545829246916492,8.242800322025257,0.8573401539174136
INTU,long,jma,7,21,0,5,True,True,False,23,60.86956521739131,1406.167724609375,1.5046701588204923,1.3690889873177705,2.0986186622602325,0.4801292848257351
AMGN,long,jma,7,21,0,5,True,True,False,30,40.0,-752.2789001464844,0.8406282272304348,1.9168343479923693,-1.0121493848313414,0.1029987839124215
AMAT,long,jma,7,21,0,7,True,True,False,23,47.82608695652174,2789.7452392578125,1.5410107488918539,2.53865918651825,2.6557668737553457,0.5389157914896484
ISRG,long,jma,7,14,0,5,True,True,False,34,52.94117647058824,2897.432159423828,1.734740003781305,1.2880884947280367,3.0982470984028114,0.5730018609936536
HON,long,jma,7,21,0,5,True,True,False,26,57.692307692307686,1495.6770935058594,1.7173101041055328,1.0486282050971458,2.2945261810590933,0.4971857881319975
